file,frame,field,min_raw,max_raw,mean_raw
LOG00025,I,amperageLatest,0.0,3947.0,606.1078832345967
LOG00025,I,baroAlt,-3639.0,5085.0,963.3901571799596
LOG00025,I,rssi,379.0,737.0,564.635682357121
LOG00025,I,gyroADC[0],-623.0,1161.0,-8.86689966867445
LOG00025,I,gyroADC[1],-292.0,1180.0,-10.467455458333678
LOG00025,I,gyroADC[2],-158.0,679.0,12.46531822951524
LOG00025,I,gyroUnfilt[0],-632.0,1167.0,-8.876500673392327
LOG00025,I,gyroUnfilt[1],-294.0,1191.0,-10.473935998810202
LOG00025,I,gyroUnfilt[2],-165.0,685.0,12.466105919517911
LOG00025,I,accSmooth[0],-2964.0,1628.0,-480.70926527251044
LOG00025,I,accSmooth[1],-3294.0,3951.0,171.24098632008307
LOG00025,I,accSmooth[2],-6622.0,15737.0,2820.4019477425522
LOG00025,I,motor[0],158.0,2047.0,622.337957569398
LOG00025,I,motor[1],158.0,2047.0,754.298708023146
LOG00025,I,motor[2],158.0,2047.0,676.5939127536926
LOG00025,I,motor[3],158.0,2047.0,736.1102187629962
LOG00025,I,eRPM[0],12.0,2230.0,841.1796428955043
LOG00025,I,eRPM[1],12.0,2326.0,996.9867166822277
LOG00025,I,eRPM[2],12.0,2326.0,911.4536460958393
LOG00025,I,eRPM[3],12.0,2326.0,976.4339703707376
LOG00025,G,time,83930520.0,442096838.0,262883388.0846271
LOG00025,G,GPS_numSat,24.0,31.0,28.955251141552512
LOG00025,G,GPS_coord[0],459167101.0,459175205.0,459170409.8280061
LOG00025,G,GPS_coord[1],168443690.0,168464124.0,168453416.91476408
LOG00025,G,GPS_altitude,1363.0,1689.0,1472.1418569254186
LOG00025,G,GPS_speed,0.0,4327.0,1125.0818873668188
LOG00025,G,GPS_ground_course,3.0,3598.0,1787.6267884322679
LOG00025,H,last_main_time,83930273.0,83930273.0,83930273.0
LOG00025,H,GPS_home[0],459169192.0,459169192.0,459169192.0
LOG00025,H,GPS_home[1],168454404.0,168454404.0,168454404.0
LOG00025,S,last_main_time,83930273.0,442157772.0,265679553.8478261
LOG00025,S,flightModeFlags,0.0,1.0,0.9782608695652174
LOG00025,S,stateFlags,7.0,7.0,7.0
LOG00025,S,failsafePhase,0.0,0.0,0.0
LOG00025,S,rxSignalReceived,1.0,1.0,1.0
LOG00025,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00026,I,loopIteration,0.0,1507644.0,753822.0
LOG00026,I,time,77599516.0,449497005.0,263549933.87835357
LOG00026,I,axisP[0],-653.0,714.0,0.059350723776372204
LOG00026,I,axisP[1],-979.0,517.0,-0.768654221675086
LOG00026,I,axisP[2],-172.0,917.0,1.2706308103748356
LOG00026,I,axisI[0],-98.0,82.0,4.759447828670884
LOG00026,I,axisI[1],-154.0,128.0,-24.60829583563272
LOG00026,I,axisI[2],-179.0,226.0,7.147734749755911
LOG00026,I,axisD[0],-612.0,709.0,-0.001939444751029418
LOG00026,I,axisD[1],-632.0,642.0,0.014836354374495904
LOG00026,I,axisF[0],-940.0,725.0,-0.020041813473702083
LOG00026,I,axisF[1],-796.0,676.0,0.07267213567092584
LOG00026,I,axisF[2],-988.0,686.0,0.07057615570743303
LOG00026,I,rcCommand[0],-351.0,500.0,-8.43064959460033
LOG00026,I,rcCommand[1],-233.0,500.0,-15.541871842764358
LOG00026,I,rcCommand[2],-271.0,500.0,16.035512268115635
LOG00026,I,rcCommand[3],1000.0,2000.0,1270.0081504436048
LOG00026,I,setpoint[0],-448.0,1170.0,-4.193777327333701
LOG00026,I,setpoint[1],-207.0,1170.0,-9.026642823789107
LOG00026,I,setpoint[2],-238.0,861.0,11.045787876215138
LOG00026,I,setpoint[3],0.0,1000.0,270.0153935136053
LOG00026,I,vbatLatest,1796.0,2662.0,2292.182665980388
LOG00026,I,amperageLatest,0.0,4627.0,583.8824659336927
LOG00026,I,baroAlt,-2198.0,4743.0,889.8894145052426
